Price,Sales_Rank,Title,Number_of_Reviews,Ratings,Author,Publication Date,Genre
13.58,58,Moonwalking With Einstein: The Art and Science of Remembering Everything,0.0847227,4.5,Joshua Foer,2011,Non Fiction
6.79,59,The Great Gatsby: The Only Authorized Edition,0.266500516,4.5,F. Scott Fitzgerald,2011,Fiction
13.78,60,The Help,0.258078377,4.8,Kathryn Stockett,2011,Fiction
21.99,61,1Q84: A novel,0.065873152,4.4,Haruki Murakami,2011,Fiction
13.81,62,Boomerang: Travels in the New Third World,0.02469348,4.5,Michael Lewis,2011,Non Fiction
16.13,63,Who Moved My Cheese,0.239286124,4.6,Spencer Johnson,2011,Fiction
15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",0.032929414,4.5,Tom Rath,2011,Non Fiction
17.36,65,Elder Scrolls V: Skyrim: Prima Official Game Guide,0.024793744,4.6,David Hodgson,2011,Non Fiction
12.06,66,The Glass Castle: A Memoir (book),0.271513693,4.6,Jeannette Walls,2011,Non Fiction
6.99,67,The Book Thief,0.49395554,4.7,Markus Zusak,2011,Fiction
13.39,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",0.270410794,4.5,Timothy Ferriss,2011,Non Fiction
8.48,69,"Oh, the Places You'll Go!",0.613011344,4.9,Dr. Seuss,2011,Fiction
8.93,70,Through My Eyes,0.013650166,4.7,Tim Tebow,2011,Non Fiction
22.79,71,The Land of Painted Caves: A Novel (Earth's Children),0.089420763,4.7,Jean M. Auel,2011,Fiction
14.52,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",0.011673542,4.5,David Brooks,2011,Non Fiction
24.33,73,A Guide to the Project Management Body of Knowledge,0.009682594,4.4,Project Management Institute,2011,Non Fiction
12.94,74,Guinness World Records 2012,0.006287957,4.6,Guinness World Records,2011,Non Fiction
19.1,75,State of Wonder,0.056090294,4.7,Ann Patchett,2011,Fiction
11.59,76,A Visit from the Goon Squad,0.061805317,4.7,Jennifer Egan,2011,Fiction
16.2,77,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",0.081986937,4.6,Caldwell B. Esselstyn Jr.,2011,Non Fiction
12.15,78,Harry Potter Paperback Box Set (Books 1-7),0.240661166,4.9,J. K. Rowling,2011,Fiction
14.99,79,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),0.065586685,4.6,Janet Evanovich,2011,Fiction
15.98,80,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,0.167325541,4.6,Sean Covey,2011,Non Fiction
16.97,81,"Delivering Happiness: A Path to Profits, Passion, and Purpose",0.045720179,4.6,Tony Hsieh,2011,Non Fiction
14.53,82,"The Lost Hero (Heroes of Olympus, Book 1)",0.164704366,4.8,Rick Riordan,2011,Fiction
10.43,83,Room,0.138936633,4.5,Emma Donoghue,2011,Fiction
13.49,84,Hotel on the Corner of Bitter and Sweet,0.088647301,4.6,Jamie Ford,2011,Fiction
12.99,85,The Tipping Point: How Little Things Can Make a Big Difference,0.081385356,4.4,Malcolm Gladwell,2011,Non Fiction
14.98,86,Emotional Intelligence 2.0,0.148662198,4.5,Travis Bradberry,2011,Non Fiction
15.71,87,Outliers: The Story of Success,0.317391429,4.7,Malcolm Gladwell,2011,Non Fiction
8.69,88,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,0.039389252,4.5,Gene Stone,2011,Non Fiction
11.12,89,The Girl Who Played with Fire (Millennium Series),0.152443566,4.7,Stieg Larsson,2011,Fiction
20.25,90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",0.015841641,4.4,Lisa Lillien,2011,Non Fiction
25,91,The Alchemist,0.05394179,4.7,Paulo Coelho,2011,Fiction
24.95,92,Getting Things Done: The Art of Stress-Free Productivity,0.067119285,4.6,David Allen,2011,Non Fiction
13.03,93,The Invention of Hugo Cabret,0.037298041,4.8,Brian Selznick,2011,Fiction
17.89,94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",0.010398762,4.7,Gallup,2011,Non Fiction
10.79,95,Drive: The Surprising Truth About What Motivates Us,0.077904778,4.5,Daniel H. Pink,2011,Non Fiction
14.44,96,Smokin' Seventeen (Stephanie Plum),0.053168328,4.6,Janet Evanovich,2011,Fiction
20.61,97,"Moleskine Classic Notebook, Hard Cover, Large (5"" x 8.25"") Ruled/Lined, Black, 240 Pages",0.318236507,4.8,Moleskine Store,2011,unknown
8.79,98,The Big Short: Inside the Doomsday Machine,0.083691417,4.7,Michael Lewis,2011,Non Fiction
9.99,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",0.168772201,4.7,Christopher McDougall,2011,Non Fiction
12.15,100,The Official Guide for GMAT Review,0.003623811,4.4,GMAC (Graduate Management Admission Council),2011,Non Fiction
13.99,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",0.862023032,4.7,E L James,2012,Fiction
13.99,2,Fifty Shades Darker,0.470336313,4.5,E L James,2012,Fiction
13.88,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",0.46300275,4.5,E L James,2012,Fiction
11.69,4,The Hunger Games (Book 1),0.611894122,4.7,Suzanne Collins,2012,Fiction
18.29,5,StrengthsFinder 2.0,0.100721898,4.7,Gallup,2012,Non Fiction
19.49,6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),0.546722814,4.6,E L James,2012,Fiction
9.49,7,Catching Fire (The Hunger Games),0.464205913,4.7,Suzanne Collins,2012,Fiction
9.08,8,Mockingjay (The Hunger Games),0.529735304,4.6,Suzanne Collins,2012,Fiction
13.95,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",0.178626676,4.7,Jeff Kinney,2012,Fiction
16.89,10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,0.137876704,4.6,Mark Owen,2012,Non Fiction
12.15,11,The Hunger Games Trilogy Boxed Set,0.38866449,4.8,Suzanne Collins,2012,Fiction
15.21,12,Gone Girl,0.958634124,4.7,Gillian Flynn,2012,Fiction
11.26,13,"The Mark of Athena (Heroes of Olympus, Book 3)",0.19920935,4.8,Rick Riordan,2012,Fiction
12.15,14,The Official SAT Study Guide,0.021141286,4.4,The College Board,2012,Non Fiction
12.15,15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,0.090294488,4.6,George R.R. Martin,2012,Fiction
17.68,16,Killing Kennedy: The End of Camelot,0.148390054,4.6,Bill O'Reilly,2012,Non Fiction
24.29,17,"Publication Manual of the American Psychological Association, 6th Edition",0.180818151,4.5,American Psychological Association,2012,Non Fiction
9.99,18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),0.154678011,4.7,Bill O'Reilly,2012,Non Fiction
14.54,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0.480964249,4.8,Laura Hillenbrand,2012,Non Fiction
12.79,20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,0.241563538,4.4,Eben Alexander,2012,Non Fiction
23.99,21,The 5 Love Languages: The Secret to Love That Lasts,0.099719262,4.7,Gary Chapman,2012,Non Fiction
17.99,22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,0.032886444,4.8,Ina Garten,2012,Non Fiction
23.87,23,"Thinking, Fast and Slow",0.425146098,4.6,Daniel Kahneman,2012,Non Fiction
11,24,The Casual Vacancy,0.156196287,4.7,J.K. Rowling,2012,Fiction
9.49,25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,0.27149937,4.7,Jonathan Cahn,2012,Fiction
19.19,26,The Power of Habit: Why We Do What We Do in Life and Business,0.324810932,4.7,Charles Duhigg,2012,Non Fiction
17.33,27,Steve Jobs,0.182336427,4.7,Walter Isaacson,2012,Non Fiction
13.96,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",0.123009052,4.4,William Davis,2012,Non Fiction
8.48,29,"Oh, the Places You'll Go!",0.613011344,4.9,Dr. Seuss,2012,Fiction
19.99,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0.02328979,4.6,Stephen R. Covey,2012,Non Fiction
20.72,31,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",0.089077002,4.6,Patrick Lencioni,2012,Non Fiction
23.01,32,Quiet: The Power of Introverts in a World That Can't Stop Talking,0.285965968,4.6,Susan Cain,2012,Non Fiction
6.79,33,The Great Gatsby: The Only Authorized Edition,0.266500516,4.5,F. Scott Fitzgerald,2012,Fiction
20.15,34,The Racketeer,0.35183912,4.4,John Grisham,2012,Fiction
13.95,35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",0.034934685,4.3,Mark Hyman M.D.,2012,Non Fiction
14.48,36,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",0.287025897,4.9,Sherri Duskey Rinker,2012,Fiction
12.1,37,The Immortal Life of Henrietta Lacks,0.241864329,4.7,Rebecca Skloot,2012,Non Fiction
11.06,38,The Fault in Our Stars,0.888578549,4.7,John Green,2012,Fiction
12.58,39,"The Serpent's Shadow (The Kane Chronicles, Book 3)",0.06922482,4.8,Rick Riordan,2012,Fiction
17.12,40,One Thousand Gifts: A Dare to Live Fully Right Where You Are,0.063939498,4.6,Ann Voskamp,2012,Non Fiction
18.24,41,Wild: From Lost to Found on the Pacific Crest Trail,0.336584737,4.5,Cheryl Strayed,2012,Non Fiction
13.98,42,Winter of the World: Book Two of the Century Trilogy,0.259739888,4.6,Ken Follett,2012,Fiction
13.32,43,The Pioneer Woman Cooks: Food from My Frontier,0.066130973,4.8,Ree Drummond,2012,Non Fiction
12.8,44,The Lego Ideas Book: Unlock Your Imagination,0.140898934,4.5,Daniel Lipkowitz,2012,Non Fiction
10.24,45,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,0.248052022,4.7,Todd Burpo,2012,Non Fiction
7.53,46,"Jesus Calling, Padded Hardcover, with Scripture references",0.446115504,4.9,Sarah Young,2012,Non Fiction
12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",0.141801306,4.5,Joel Fuhrman MD,2012,Non Fiction
17.65,48,Thomas Jefferson: The Art of Power,0.041136702,4.6,Jon Meacham,2012,Non Fiction
16.5,49,Good to Great: Why Some Companies Make the Leap and Others Don't,0.082402315,4.5,Jim Collins,2012,Non Fiction
9.6,50,The Amateur,0.038057179,4.5,Edward Klein,2012,Non Fiction
17.14,51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,0.025552882,4.7,Deb Perelman,2012,Non Fiction
18,52,What to Expect When You're Expecting,0.420233184,4.8,Heidi Murkoff,2012,Non Fiction
27.49,53,The Walking Dead: Compendium One,0.107597112,4.8,Robert Kirkman,2012,Fiction
18.46,54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,0.027056835,4.5,Nate Silver,2012,Non Fiction
7.07,55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),0.152357626,4.5,The Oatmeal,2012,Fiction
24.31,56,A Dance with Dragons (A Song of Ice and Fire),0.246390512,4.5,George R. R. Martin,2012,Fiction
15.84,57,America Again: Re-becoming the Greatness We Never Weren't,0.007935144,4.3,Stephen Colbert,2012,Non Fiction
5.52,58,LEGO NINJAGO: Character Encyclopedia,0.011988656,4.5,DK Publishing,2012,Fiction
18.52,59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,0.276741721,4.6,Chris Kyle,2012,Non Fiction
15.71,60,Outliers: The Story of Success,0.317391429,4.7,Malcolm Gladwell,2012,Non Fiction
22.99,61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,0.011601925,4.5,Doug Lemov,2012,Non Fiction
8.78,62,Bared to You,0.20993755,4.4,Sylvia Day,2012,Fiction
7.74,63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),0.240661166,4.7,Don Miguel Ruiz,2012,Non Fiction
15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",0.032929414,4.5,Tom Rath,2012,Non Fiction
16.97,65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,0.043743554,4.3,Mike Moreno,2012,Non Fiction
16.48,66,Crazy Love: Overwhelmed by a Relentless God,0.026784691,4.7,Francis Chan,2012,Non Fiction
14.35,67,Go the F**k to Sleep,0.289231695,4.8,Adam Mansbach,2012,Fiction
12.15,68,Bring Up the Bodies,0.122779879,4.5,Hilary Mantel,2012,Fiction
11.55,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",0.017632061,4.6,Jim Collins,2012,Non Fiction
21.9,70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,0.141801306,4.5,Joel Fuhrman MD,2012,Non Fiction
17,71,"Reflected in You (Crossfire, Book 2)",0.180044689,4.6,Sylvia Day,2012,Fiction
16.13,72,Who Moved My Cheese,0.239286124,4.6,Spencer Johnson,2012,Fiction
6.99,73,The Book Thief,0.49395554,4.7,Markus Zusak,2012,Fiction
24.33,74,A Guide to the Project Management Body of Knowledge,0.009682594,4.4,Project Management Institute,2012,Non Fiction
16,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",0.054357167,4.3,Katherine Boo,2012,Non Fiction
14.85,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",0.06190558,4.5,Charlaine Harris,2012,Fiction
20.97,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",0.140956228,4.7,Kerry Patterson,2012,Non Fiction
8.69,78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,0.039389252,4.5,Gene Stone,2012,Non Fiction
15.79,79,The Jesus Storybook Bible: Every Story Whispers His Name,0.169144609,4.9,Sally Lloyd-Jones,2012,Non Fiction
14.76,80,Notorious Nineteen: A Stephanie Plum Novel,0.114944998,4.6,Janet Evanovich,2012,Fiction
19.87,81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",0.039775983,4.5,Timothy Ferriss,2012,Non Fiction
11.99,82,Cloud Atlas,0.082703105,4.3,David Mitchell,2012,Fiction
25,83,The Alchemist,0.05394179,4.7,Paulo Coelho,2012,Fiction
22.6,84,The Hunger Games,0.611894122,4.7,Suzanne Collins,2012,Fiction
13,85,"Help, Thanks, Wow: The Three Essential Prayers",0.028245674,4.6,Anne Lamott,2012,Non Fiction
9.67,86,Wonder,0.51059929,4.8,R. J. Palacio,2012,Fiction
22.97,87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",0,4.7,Woo Myung,2012,Non Fiction
9.29,88,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",0.068408388,4.5,Mary C. Neal,2012,Non Fiction
9.79,89,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",0.18656182,4.5,Del Sroufe,2012,Non Fiction
12.55,90,Catching Fire (Hunger Games),0.464205913,4.7,Suzanne Collins,2012,Fiction
19.81,91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",0.186361293,4.8,Robert Jordan,2012,Fiction
4.89,92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",0.158659906,4.8,Jeff Kinney,2012,Fiction
15.98,93,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,0.167325541,4.6,Sean Covey,2012,Non Fiction
26.43,94,The Passage of Power: The Years of Lyndon Johnson,0.020926435,4.8,Robert A. Caro,2012,Non Fiction
14.52,95,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,0.077732898,4.8,Ree Drummond,2012,Non Fiction
23.95,96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",0.001475307,4.6,Zhi Gang Sha Dr.,2012,Non Fiction
24,97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",0.075641687,4.7,Thomas Campbell,2012,Non Fiction
13.75711733,50.24630925,,0.369223566,4.650893551,,2012,unknown
20.26,99,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,0.088260571,4.8,Timothy Keller,2012,Non Fiction
5.49,100,Night (Night),0.122078034,4.7,Elie Wiesel,2012,Non Fiction
18.29,1,StrengthsFinder 2.0,0.100721898,4.7,Gallup,2013,Non Fiction
16.2,2,"Lean In: Women, Work, and the Will to Lead",0.116477598,4.5,Sheryl Sandberg,2013,Non Fiction
13.85,3,"Diary of a Wimpy Kid: Hard Luck, Book 8",0.177896184,4.8,Jeff Kinney,2013,Fiction
10.25,4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),0.133192964,4.9,Rush Limbaugh,2013,Fiction
7.53,5,"Jesus Calling, Padded Hardcover, with Scripture references",0.446115504,4.9,Sarah Young,2013,Non Fiction
13.59,6,Inferno,0.508422138,4.7,Dan Brown,2013,Fiction
12.2,7,"The House of Hades (Heroes of Olympus, Book 4)",0.217528933,4.8,Rick Riordan,2013,Fiction
11.87,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",0.110848516,4.7,Charles Krauthammer,2013,Non Fiction
6.79,9,The Great Gatsby: The Only Authorized Edition,0.266500516,4.5,F. Scott Fitzgerald,2013,Fiction
18.44,10,Killing Jesus (Bill O'Reilly's Killing Series),0.185587831,4.5,Bill O'Reilly,2013,Non Fiction
12.79,11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,0.241563538,4.4,Eben Alexander,2013,Non Fiction
12.15,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",0.172797067,4.7,American Psychiatric Association,2013,Non Fiction
12.15,13,The Official SAT Study Guide,0.021141286,4.4,The College Board,2013,Non Fiction
11.06,14,The Fault in Our Stars,0.888578549,4.7,John Green,2013,Fiction
6.99,15,The Book Thief,0.49395554,4.7,Markus Zusak,2013,Fiction
9.67,16,Wonder,0.51059929,4.8,R. J. Palacio,2013,Fiction
23.99,17,The 5 Love Languages: The Secret to Love That Lasts,0.099719262,4.7,Gary Chapman,2013,Non Fiction
24.29,18,"Publication Manual of the American Psychological Association, 6th Edition",0.180818151,4.5,American Psychological Association,2013,Non Fiction
8,19,Divergent,0.138234789,4.7,Veronica Roth,2013,Fiction
4.99,20,Laugh-Out-Loud Jokes for Kids,0.153274321,4.6,Rob Elliott,2013,Non Fiction
8.48,21,"Oh, the Places You'll Go!Â Â ",0.613011344,4.9,Dr. Seuss,2013,Fiction
16.6,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",0.103142546,4.5,Malcolm Gladwell,2013,Non Fiction
12.15,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,0.090294488,4.6,George R.R. Martin,2013,Fiction
12.04,24,Allegiant,0.351509683,4.7,Veronica Roth,2013,Fiction
12.33,25,And the Mountains Echoed,0.247121004,4.4,Khaled Hosseini,2013,Fiction
15.38,26,Humans of New York,0.076300561,4.8,Brandon Stanton,2013,Non Fiction
12.15,27,The Legend of Zelda: Hyrule Historia,0.136616248,4.9,Patrick Thorpe,2013,Fiction
16,28,Doctor Sleep: A Novel,0.340251518,4.7,Stephen King,2013,Fiction
4.44,29,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),0.080740804,4.5,Rob Elliott,2013,Fiction
22.33,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),0.612982697,4.7,Donna Tartt,2013,Fiction
7.74,31,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),0.240661166,4.7,Don Miguel Ruiz,2013,Non Fiction
15.21,32,Gone Girl,0.958634124,4.7,Gillian Flynn,2013,Fiction
17.2,33,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,0.09247164,4.7,Brian Kilmeade,2013,Non Fiction
13.47,34,Quiet: The Power of Introverts in a World That Can't Stop Talking,0.285965968,4.6,Susan Cain,2013,Non Fiction
14.48,35,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",0.287025897,4.9,Sherri Duskey Rinker,2013,Fiction
14.61,36,Sycamore Row (Jake Brigance),0.521442076,4.6,John Grisham,2013,Fiction
13.96,37,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",0.123009052,4.4,William Davis,2013,Non Fiction
14.39,38,"The Pioneer Woman Cooksâ€•A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",0.06922482,4.8,Ree Drummond,2013,Non Fiction
9.19,39,The Day the Crayons Quit,0.284290134,4.8,Drew Daywalt,2013,Fiction
13.15,40,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",0.068007334,4.8,Phil Robertson,2013,Non Fiction
4.93,41,The Very Hungry Caterpillar,0.772860089,4.9,Eric Carle,2013,Fiction
12.9,42,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",0.041007792,4.8,Brené Brown,2013,Non Fiction
19.99,43,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0.02328979,4.6,Stephen R. Covey,2013,Non Fiction
9.66,44,Joyland (Hard Case Crime),0.152873267,4.6,Stephen King,2013,Fiction
13.99,45,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",0.862023032,4.7,E L James,2013,Fiction
15.29,46,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",0.003265727,4.6,Zhi Gang Sha,2013,Non Fiction
15.95,47,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,0.043772201,4.7,Ian K. Smith M.D.,2013,Non Fiction
12.27,48,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",0.113584279,4.7,Allie Brosh,2013,Non Fiction
17.36,49,To Kill a Mockingbird,0.985318552,4.8,Harper Lee,2013,Fiction
20.72,50,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",0.089463733,4.6,Patrick Lencioni,2013,Non Fiction
14.54,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0.480964249,4.8,Laura Hillenbrand,2013,Non Fiction
21.5,52,Ender's Game (The Ender Quintet),0.262805088,4.6,Orson Scott Card,2013,Fiction
6.92,53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,0.424315343,4.7,Brené Brown,2013,Non Fiction
16.68,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",0.399177839,4.7,Robert Galbraith,2013,Fiction
18,55,What to Expect When You're Expecting,0.420233184,4.8,Heidi Murkoff,2013,Non Fiction
10.61,56,America the Beautiful: Rediscovering What Made This Nation Great,0.054085023,4.8,Ben Carson  M.D.,2013,Non Fiction
17.36,57,The Liberty Amendments: Restoring the American Republic,0.057322104,4.8,Mark R. Levin,2013,Non Fiction
16.5,58,ZEALOT: The Life and Times of Jesus of Nazareth,0.099704939,4.4,Reza Aslan,2013,Non Fiction
11.8,59,The One and Only Ivan,0.284046637,4.8,Katherine Applegate,2013,Fiction
16.5,60,Good to Great: Why Some Companies Make the Leap and Others Don't,0.082402315,4.5,Jim Collins,2013,Non Fiction
8.24,61,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,0.028345938,4.7,Si Robertson,2013,Non Fiction
24.78,62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",0.019594362,4.4,Gwyneth Paltrow,2013,Non Fiction
15.71,63,Outliers: The Story of Success,0.317391429,4.7,Malcolm Gladwell,2013,Non Fiction
19.39,64,Jerusalem: A Cookbook,0.073034834,4.8,Yotam Ottolenghi,2013,Non Fiction
12.15,65,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",0.020525381,4.7,Kelly Starrett,2013,Non Fiction
9.64,66,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",0.110476109,4.6,David Perlmutter MD,2013,Non Fiction
8.99,67,Looking for Alaska,0.240560903,4.6,John Green,2013,Fiction
13.71,68,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,0.14041194,4.6,Malala Yousafzai,2013,Non Fiction
4.98,69,Love You Forever,0.7607282,4.9,Robert Munsch,2013,Fiction
12.69,70,The Perks of Being a Wallflower,0.342113556,4.7,Stephen Chbosky,2013,Fiction
14.5,71,Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,0.062177724,4.6,Diane Sanfilippo,2013,Non Fiction
19.49,72,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),0.546722814,4.6,E L James,2013,Fiction
13.32,73,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",0.159361751,4.3,Dr Dr Michael Mosley,2013,Non Fiction
15.79,74,The Jesus Storybook Bible: Every Story Whispers His Name,0.169144609,4.9,Sally Lloyd-Jones,2013,Non Fiction
15.99,75,Divergent / Insurgent,0.27797353,4.6,Veronica Roth,2013,Fiction
10.5,76,How to Win Friends & Influence People,0.240661166,4.7,Dale Carnegie,2013,Non Fiction
22.07,77,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",0.037068867,4.6,Doris Kearns Goodwin,2013,Non Fiction
11.69,78,The Hunger Games (Book 1),0.611894122,4.7,Suzanne Collins,2013,Fiction
9.2,79,ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,0.013650166,4.7,Nick J. Tate,2013,Non Fiction
9.49,80,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,0.27149937,4.7,Jonathan Cahn,2013,Fiction
12.1,81,The Immortal Life of Henrietta Lacks,0.241864329,4.7,Rebecca Skloot,2013,Non Fiction
5.49,82,Night (Night),0.122078034,4.7,Elie Wiesel,2013,Non Fiction
13.99,83,Fifty Shades Darker,0.470336313,4.5,E L James,2013,Fiction
12.99,84,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",0.141801306,4.5,Joel Fuhrman MD,2013,Non Fiction
9.79,85,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",0.18656182,4.5,Del Sroufe,2013,Non Fiction
13.88,86,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",0.46300275,4.5,E L James,2013,Fiction
25,87,The Alchemist,0.05394179,4.7,Paulo Coelho,2013,Fiction
8.99,88,The Catcher in the Rye,0.442233872,4.5,J.D. Salinger,2013,Fiction
8.55,89,Mindset: The New Psychology of Success,0.198536152,4.6,Carol S. Dweck,2013,Non Fiction
19.59,90,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",0.031898132,4.4,William Davis,2013,Non Fiction
12.15,91,MyMathLab: Student Access Kit,0.064569726,4.7,Hall H Pearson Education,2013,Non Fiction
